region,industry,tax_people_count,tax_base,zero_tax_base,pay_tax,refund_tax,final_tax
울산,숙박업,506.0,53209.0,8056.0,2866.0,2882.0,-16.0
울산,운수창고통신업 등,6808.0,455587.0,30434.0,25249.0,3369.0,21880.0
울산,부동산임대업 외,14725.0,282979.0,,25893.0,976.0,24917.0
울산,대리중개도급 등,4788.0,278926.0,,15520.0,2915.0,12605.0
울산,기타서비스업,9810.0,725607.0,,41084.0,,
경남,농업·임업·어업,379.0,9454.0,164.0,716.0,366.0,350.0
경남,광업,33.0,2310.0,-555974.0,140.0,3.0,137.0
경남,제조업,33193.0,8149359.0,54.0,368796.0,44948.0,323848.0
경남,전기·가스·수도업,11984.0,137314.0,291895.0,12014.0,12115.0,-101.0
경남,도매업,23835.0,4493900.0,106885.0,109140.0,32727.0,76413.0
경남,소매업,28682.0,4156168.0,-11264.0,52714.0,19548.0,33166.0
경남,부동산임대업,865.0,30057.0,41.0,2521.0,1605.0,916.0
경남,건설업,26490.0,1888190.0,4.0,106858.0,12504.0,94354.0
경남,음식업,36274.0,4349418.0,1517.0,126802.0,5496.0,121306.0
경남,숙박업,2491.0,175201.0,5.0,8555.0,1603.0,6952.0
경남,운수창고통신업 등,18899.0,1063393.0,57301.0,52034.0,7416.0,44618.0
경남,부동산임대업 외,42011.0,660540.0,48121.0,61064.0,10697.0,50367.0
경남,대리중개도급 등,14200.0,828865.0,,43098.0,2629.0,40469.0
경남,기타서비스업,27060.0,1755170.0,,97411.0,9881.0,87530.0
제주,농업·임업·어업,133.0,6288.0,89.0,403.0,52.0,351.0
제주,광업,-2338.0,-207022.0,-13140.0,-8387.0,-1850.0,-6537.0
제주,제조업,1443.0,32816.0,0.0,2647.0,2556.0,91.0
제주,전기·가스·수도업,4475.0,646393.0,47371.0,15533.0,4253.0,11280.0
제주,도매업,8055.0,1162419.0,38711.0,15362.0,4995.0,10367.0
제주,소매업,313.0,2436.0,-3711.0,188.0,500.0,-312.0
제주,부동산임대업,8081.0,420016.0,3.0,23114.0,4191.0,18923.0
제주,건설업,11666.0,1527441.0,1.0,51619.0,2280.0,49339.0
제주,음식업,2172.0,114942.0,157.0,5732.0,1136.0,4596.0
제주,숙박업,2647.0,144645.0,-36928.0,5937.0,1710.0,4227.0
제주,운수창고통신업 등,18139.0,210080.0,4401.0,20410.0,5714.0,14696.0
제주,부동산임대업 외,2172.0,112925.0,,5053.0,1324.0,3729.0
제주,대리중개도급 등,8506.0,522006.0,,26025.0,4565.0,21460.0
제주,기타서비스업,,,,,,
대전,농업·임업·어업,51.0,952.0,0.0,44.0,11.0,33.0
대전,광업,4.0,32.0,0.0,3.0,0.0,3.0
대전,제조업,6763.0,951504.0,23371.0,41587.0,4086.0,37501.0
대전,전기·가스·수도업,594.0,4689.0,0.0,379.0,407.0,-28.0
대전,도매업,12175.0,2087006.0,45235.0,51127.0,7545.0,43582.0
대전,소매업,15329.0,1805449.0,15920.0,26077.0,6366.0,19711.0
대전,부동산임대업,381.0,7129.0,0.0,348.0,245.0,103.0
대전,건설업,12046.0,940652.0,2385.0,52740.0,6183.0,46557.0
대전,음식업,14678.0,2149632.0,0.0,64292.0,3377.0,60915.0
대전,숙박업,363.0,61588.0,0.0,3344.0,618.0,2726.0
대전,운수창고통신업 등,9215.0,462517.0,155.0,23644.0,3803.0,19841.0
대전,부동산임대업 외,22987.0,433716.0,3.0,39576.0,12681.0,26895.0
대전,대리중개도급 등,6780.0,377683.0,5574.0,21845.0,1085.0,20760.0
대전,기타서비스업,16723.0,1006271.0,12735.0,55213.0,4902.0,50311.0
충북,농업·임업·어업,208.0,6709.0,30.0,453.0,58.0,395.0
충북,광업,20.0,2539.0,0.0,130.0,4.0,126.0
충북,제조업,9979.0,1923075.0,112787.0,87630.0,10766.0,76864.0
충북,전기·가스·수도업,12489.0,121334.0,0.0,10749.0,11014.0,-265.0
충북,도매업,11147.0,1847342.0,116493.0,46024.0,13946.0,32078.0
충북,소매업,15494.0,2429647.0,78678.0,29880.0,13470.0,16410.0
충북,부동산임대업,580.0,15119.0,0.0,1536.0,223.0,1313.0
충북,건설업,18308.0,1378711.0,6240.0,78731.0,9749.0,68982.0
충북,음식업,17644.0,2390740.0,0.0,74475.0,3124.0,71351.0
충북,숙박업,1058.0,97630.0,0.0,5102.0,1931.0,3171.0
충북,운수창고통신업 등,11177.0,646179.0,161.0,33148.0,4878.0,28270.0
충북,부동산임대업 외,24066.0,424104.0,38.0,39740.0,10307.0,29433.0
충북,대리중개도급 등,6833.0,465570.0,4371.0,24135.0,1448.0,22687.0
충북,기타서비스업,14657.0,934062.0,6568.0,50196.0,5902.0,44294.0
